object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861269243085410768,0.2786063253879547,0.12294948101043701,0.9997749924659729,0.16211378574371338,0.3003959655761719,0.25532329082489014
-861269196083583914,0.5122442245483398,NaN,0.43643832206726074,8.851264339526654E-12,1.0,2.1005971267973322E-11
-861269178083816874,0.16606388986110687,NaN,0.9429382085800171,NaN,1.0,1.1296324942122737E-7
-861269153083619038,0.2738921046257019,NaN,0.9462883472442627,1.6794337188291708E-12,1.0,NaN
-861268974087672840,0.5078182816505432,NaN,0.3854045867919922,1.118517722886736E-9,1.0,NaN
-861268973084010464,0.2002234160900116,NaN,0.6890215277671814,2.0675956780014104E-10,1.0,NaN
-861268963087550894,133.89801025390625,302.0614013671875,0.9983512163162231,4.847347259521484,0.33738094568252563,4.743900775909424
-861268872083702852,0.2843361496925354,NaN,0.9142131805419922,9.768685860223059E-10,1.0,NaN
-861268855085033696,0.14619728922843933,2.7615085606031682E-18,0.6043202877044678,5.969239685876815E-11,1.0,2.6624951487974613E-7
-861268753085567905,0.013241589069366455,3.786806583404541,0.7839402556419373,111.58660125732422,1.1519242525100708,393.0500183105469
-861268724085274220,0.19445249438285828,4.999456095282862E-22,0.7975170016288757,NaN,1.0,NaN
-861268344084908563,0.34817904233932495,NaN,0.8273811340332031,NaN,1.0,NaN
-861268315083762072,0.48283451795578003,NaN,0.6478474140167236,2.1248051929045886E-10,1.0,NaN
-861268272083769736,0.36066576838493347,NaN,0.629410982131958,4.3839605556872385E-11,1.0,NaN
-861268248087520103,4.403111934661865,470.9456787109375,0.29677465558052063,19.461484909057617,0.4512007236480713,23.75029754638672
-861268237083589458,0.3762015700340271,NaN,0.9003804326057434,2.138616540803273E-12,1.0,7.259539497317391E-11
-861268138084782642,0.9588603973388672,NaN,0.9291300177574158,NaN,1.0,NaN
-861267923085144931,0.06803835183382034,0.007015699055045843,0.030001509934663773,1.8545695184002398E-6,5.49701452255249,0.002566809765994549
-861267906084700369,0.37650564312934875,NaN,0.6489338874816895,NaN,1.0,NaN
-861267894087260399,1.2611942291259766,6.9319305419921875,0.3433256149291992,0.003968501929193735,4.9833149909973145,14.943411827087402
-861267859084850497,0.2469235211610794,1.2009681529957101E-24,0.9316441416740417,6.706688589531955E-18,1.0,NaN
-861267722084352713,0.5198370814323425,3.944412205618622E-24,0.47865504026412964,1.9388552398915413E-16,1.0,2.6363839073401422E-15
-861267667083565055,1.585941195487976,3.483994721577736E-23,0.45488399267196655,NaN,1.0,NaN
-861267486085242169,0.9771076440811157,6.42626407381761E-20,0.19710278511047363,4.095789679636752E-12,1.0,NaN
-861267156085253861,0.3016710579395294,NaN,0.5842779874801636,NaN,1.0,NaN
-861267065086169642,5.70229959487915,0.0,1.0,4.021293946347915E-16,0.34695568680763245,18.434650421142578
-861267029083574609,1.165747046470642,NaN,0.5212683081626892,NaN,1.0,NaN
-861266856085234486,0.37152189016342163,3.2454366264326274E-25,0.5043954849243164,NaN,1.0,3.9557178604758547E-13
-861266799086022709,6.152462005615234,34.90345764160156,0.30777546763420105,0.277912437915802,1.706287145614624,4.8359456062316895
-861266674083871647,0.4399881958961487,NaN,0.964137613773346,NaN,1.0,NaN
-861266622084978796,0.3102012574672699,4.294896084946261E-23,0.40463757514953613,3.847578939480956E-12,1.0,3.54822117867859E-12
-861266620087626948,0.8444412350654602,NaN,0.27901893854141235,NaN,1.0,NaN
-861266476084016542,0.3050505220890045,4.658216545581928E-24,0.91875821352005,8.220946492998316E-12,1.0,NaN
-861266449087597281,11.454721450805664,40.146888732910156,0.7402538657188416,67.36151885986328,3.6211578845977783,350.7086486816406
-861266419084419700,0.21940450370311737,1.4681042915981103E-15,0.6916313767433167,3.38515769726655E-6,1.0,NaN
-861266362087402693,2.077726125717163,19.83306121826172,0.05247856304049492,0.5910985469818115,0.30482879281044006,3.888861894607544
-861266257085452737,0.012632777914404869,0.0132726626470685,0.6608900427818298,0.40730053186416626,5.442145347595215,3.393216371536255
-861266256084374389,0.33273595571517944,NaN,0.8635421395301819,6.80923650797638E-11,1.0,1.6793380019919368E-9
-861266154084369001,0.35873931646347046,1.4810519425952075E-21,0.5359454154968262,3.7862901702823137E-10,1.0,NaN
-861266135083498552,0.3920100927352905,NaN,0.7117825746536255,1.4087869759649152E-9,1.0,1.5041711209917707E-9
-861265978083504623,0.3606836497783661,5.318728121760136E-21,0.9226564168930054,NaN,1.0,NaN
-861265882085224486,1.2206952571868896,NaN,0.23031002283096313,7.586147777804498E-16,1.0,NaN
-861265849087239022,15.224198341369629,80.79637908935547,0.8396733999252319,0.48445507884025574,1.1318258047103882,2.1465840339660645
-861265709084261152,0.36254405975341797,NaN,0.5328426361083984,1.3067527101899307E-14,1.0,1.577836541706134E-14
-861265639083439424,0.3898259103298187,1.799028490334331E-20,0.4802788496017456,NaN,1.0,6.005202976666624E-6
-861265585087437394,0.34132060408592224,0.3718102276325226,0.999746561050415,0.42257624864578247,0.30097904801368713,0.6489436030387878
-861265533087303287,3.351508378982544,46.13953399658203,0.03774702921509743,0.00292412587441504,2.8362998962402344,19.46068000793457
-861265507083863528,0.587990403175354,3.3389122161248234E-19,0.6116278767585754,NaN,1.0,NaN
-861265303083616550,0.004165911581367254,0.0,0.48089584708213806,6.828306473453789E-17,0.9296008348464966,NaN
-861265297084449785,0.3721523880958557,NaN,0.4376521110534668,NaN,1.0,NaN
